Rk,Player,Tm,Pos,Shift,GP,,TOI (EV),CF% Rel (EV),GF/60 (EV),GA/60 (EV),,TOI (PP),CF% Rel (PP),GF/60 (PP),GA/60 (PP),,TOI (SH),CF% Rel (SH),GF/60 (SH),GA/60 (SH),PlayerID
135,Brian Lashoff,DET,D,0:52,1,,2:59,-7.6,0,0,,0:00,,,,,1:03,0,0,0,lashobr01
136,Brock Boeser,VAN,RW,0:44,62,,14:31,0.5,3.1,3.2,,2:55,5.5,9.9,1,,0:02,18.3,0,0,boesebr01
137,Brock McGinn,CAR,LW,0:42,80,,12:57,-0.1,2.3,2.9,,0:20,-4.5,7,2.3,,1:12,5.9,0.6,8.1,mcginbr01
138,Brock Nelson,NYI,C,0:29,82,,12:14,-2.7,2.4,2.5,,1:49,-6.4,5.4,1.2,,0:39,0.4,0,7,nelsobr01
139,Brooks Laich,LAK,C,0:44,12,,9:43,-10.4,1,3.6,,0:02,,,,,1:25,2.3,0,0,laichbr01
140,Brooks Orpik,WSH,D,0:44,81,,16:13,-6.5,2,2.5,,0:01,-63.3,0,0,,3:06,-8.2,0.2,6.6,orpikbr01
141,Bryan Little,WPG,RW,0:43,82,,13:43,-0.7,2.7,2.6,,2:10,4.2,7.4,0.7,,1:02,-0.2,0.7,6.4,littlbr01
142,Bryan Rust,PIT,RW,0:35,69,,13:53,4.9,2.8,2.3,,0:45,-0.6,5.5,0,,1:23,3.7,1.9,6.8,rustbr01
143,Byron Froese,MTL,C,1:02,48,,10:21,-4.5,1.8,1.8,,0:02,-35.1,0,0,,1:11,-3.4,0,10.5,froesby01
144,Cal Clutterbuck,NYI,RW,0:42,76,,10:34,-7.8,2.3,2.9,,0:05,-12.3,0,9.8,,2:06,0.1,0.7,7.9,cluttca01
145,Cal O'Reilly,MIN,C,0:44,1,,7:56,-24,0,0,,0:00,,,,,0:20,100,0,0,oreilca01
146,Calle Järnkrok,NSH,C,0:31,68,,12:55,-4.4,2.8,1.6,,0:40,3.8,5.3,0,,2:16,-0.2,0.8,5.8,jarnkca01
147,Calle Rosén,TOR,D,0:38,4,,12:21,-0.2,1.2,4.9,,0:25,-19,0,0,,0:00,,,,rosenca01
148,Calvin de Haan,NYI,D,0:43,33,,16:17,-1.3,3.7,2.6,,0:05,-35.8,0,0,,2:21,2.5,1.5,11.6,dehaaca01
149,Cam Atkinson,CBJ,RW,0:41,65,,14:43,0.5,3.6,2.3,,2:45,7.8,7.1,1,,1:25,-2.4,0.6,9.5,atkinca01
150,Cam Fowler,ANA,D,0:49,67,,19:51,0.3,2.4,2.4,,2:36,4.5,5.6,1,,2:23,2.4,1.9,6.4,fowleca01
151,Carl Dahlström,CHI,D,0:37,11,,16:03,-5.9,3.1,3.7,,0:01,,0,0,,1:26,-2,0,3.8,dahlsca01
152,Carl Gunnarsson,STL,D,0:37,63,,14:50,-6.3,2.4,1.5,,0:02,-53.8,0,0,,1:16,-0.9,0,7.5,gunnaca01
153,Carl Hagelin,PIT,LW,0:38,81,,13:20,2.2,2.7,2.3,,0:03,-21.8,0,0,,2:32,1.9,0.3,6.4,hagelca01
154,Carl Söderberg,COL,C,0:40,77,,13:01,-2.1,2.4,2.4,,1:54,-1.8,4.8,1.6,,2:25,0.5,1.3,5.5,soderca01
155,Carson Soucy,MIN,D,0:39,3,,14:11,-6.7,0,2.8,,0:01,,,,,0:37,21.8,0,0,soucyca01
156,Carter Rowney,PIT,RW,0:27,44,,7:04,-6.4,1.2,3.9,,0:02,15.1,0,0,,2:13,-8.9,0.6,6.7,rowneca01
157,Casey Cizikas,NYI,C,0:49,64,,10:50,-5.9,2.4,3.5,,0:04,-27.7,0,15.7,,2:18,0.1,0.8,7,cizikca01
158,Casey Mittelstadt,BUF,C,0:37,6,,11:52,-4.2,4.2,3.4,,2:09,-12.9,14,0,,0:00,,,,mitteca01
159,Casey Nelson,BUF,D,0:36,37,,17:24,-0.1,1.7,3.3,,0:21,-8.8,3.6,0,,1:00,12.9,4.8,9.6,nelsoca01
160,Cédric Paquette,TBL,C,0:42,56,,9:35,-3.6,1.8,2.3,,0:04,-7.4,24.3,0,,0:32,-1.6,0,15.9,paquece01
